sensor_id,hour_of_day,mean_flow_lpm,std_flow_lpm,max_flow_lpm,pct_time_flowing,expected_flow_lpm,deviation_from_expected,is_leak,leak_probability
sensor_flow_0,10,3.55,1.216,6.294,0.242,2.747,0.802,0,0.0
sensor_flow_0,4,0.0,1.132,2.615,0.151,0.111,-0.111,0,0.0
sensor_flow_0,23,0.0,0.795,2.069,0.015,0.356,-0.356,0,0.0
sensor_flow_0,5,0.065,0.625,1.757,0.191,0.122,-0.057,0,0.0
sensor_flow_0,21,6.999,1.237,10.609,0.919,6.417,0.582,0,0.0
sensor_flow_0,8,4.384,1.142,7.045,0.462,4.153,0.231,0,0.0
sensor_flow_0,13,2.828,0.847,4.832,0.177,2.108,0.72,0,0.0
sensor_flow_0,7,6.845,0.548,7.788,0.559,5.588,1.257,0,0.0
sensor_flow_0,9,4.352,0.408,5.334,0.731,4.929,-0.577,0,0.0
sensor_flow_0,19,4.369,1.19,7.717,0.403,5.688,-1.319,0,0.0
sensor_flow_0,9,3.574,0.632,4.793,0.488,4.349,-0.776,0,0.0
sensor_flow_0,6,4.64,1.308,7.55,0.483,5.075,-0.435,0,0.0
sensor_flow_0,0,1.896,1.31,5.065,0.229,0.396,1.5,0,0.0
sensor_flow_0,6,3.297,0.321,4.061,0.372,4.195,-0.898,0,0.0
sensor_flow_0,16,6.419,0.142,6.658,0.931,1.067,5.352,1,1.0
sensor_flow_0,16,2.476,1.438,4.697,0.292,2.296,0.18,0,0.0
sensor_flow_0,2,6.592,0.249,7.229,0.883,0.354,6.237,1,1.0
sensor_flow_0,7,7.139,0.424,8.018,0.765,7.295,-0.157,0,0.0
sensor_flow_0,18,18.546,0.253,19.161,0.904,6.92,11.626,1,1.0
sensor_flow_0,15,2.384,0.525,3.825,0.517,2.89,-0.506,0,0.0
sensor_flow_0,0,0.301,0.793,2.561,0.0,0.181,0.119,0,0.0
sensor_flow_0,12,4.004,1.416,7.511,0.166,2.961,1.043,0,0.0
sensor_flow_0,16,3.682,0.533,4.833,0.454,2.627,1.055,0,0.0
sensor_flow_0,9,3.605,0.969,5.306,0.14,4.024,-0.419,0,0.0
sensor_flow_0,6,5.964,0.558,6.941,0.439,5.528,0.436,0,0.0
sensor_flow_0,14,1.856,1.017,4.803,0.19,1.725,0.13,0,0.0
sensor_flow_0,0,0.0,1.037,1.646,0.036,0.143,-0.143,0,0.0
sensor_flow_0,9,9.181,0.608,10.95,0.993,8.188,0.992,0,0.0
sensor_flow_0,16,1.141,0.493,2.257,0.328,1.519,-0.378,0,0.0
sensor_flow_0,3,3.81,0.418,4.767,0.873,0.424,3.385,1,1.0
sensor_flow_0,17,1.779,1.45,4.919,0.251,2.56,-0.781,0,0.0
sensor_flow_0,0,0.0,1.467,2.646,0.0,0.199,-0.199,0,0.0
sensor_flow_0,19,8.107,0.413,8.76,0.84,8.736,-0.629,0,0.0
sensor_flow_0,22,0.0,0.579,1.354,0.148,0.17,-0.17,0,0.0
sensor_flow_0,0,10.12,0.451,11.349,0.932,0.139,9.981,1,1.0
sensor_flow_0,21,8.655,1.164,11.031,0.981,8.2,0.454,0,0.0
sensor_flow_0,5,1.232,0.697,2.482,0.012,0.12,1.111,0,0.0
sensor_flow_0,0,0.0,0.594,1.236,0.333,0.132,-0.132,0,0.0
sensor_flow_0,21,7.892,0.738,9.352,1.0,8.811,-0.918,0,0.0
sensor_flow_0,17,0.869,0.891,3.323,0.249,1.002,-0.133,0,0.0
sensor_flow_0,13,2.235,1.417,5.881,0.389,1.821,0.413,0,0.0
sensor_flow_0,4,0.0,0.772,2.21,0.056,0.489,-0.489,0,0.0
sensor_flow_0,18,7.963,0.666,9.841,0.78,8.68,-0.717,0,0.0
sensor_flow_0,16,2.904,1.207,4.999,0.414,2.293,0.612,0,0.0
sensor_flow_0,0,0.705,0.809,2.194,0.101,0.206,0.499,0,0.0
sensor_flow_0,3,0.821,0.311,1.742,0.253,0.225,0.596,0,0.0
sensor_flow_0,15,0.453,0.993,3.162,0.157,1.421,-0.968,0,0.0
sensor_flow_0,23,1.625,0.422,2.3,0.0,0.47,1.155,0,0.0
sensor_flow_0,2,11.226,0.139,11.528,0.929,0.495,10.731,1,1.0
sensor_flow_0,6,7.67,1.198,10.725,0.582,8.658,-0.987,0,0.0
sensor_flow_0,11,0.751,1.023,2.684,0.068,1.52,-0.769,0,0.0
sensor_flow_0,0,0.459,1.425,3.31,0.0,0.473,-0.014,0,0.0
sensor_flow_0,5,0.0,1.153,3.361,0.301,0.363,-0.363,0,0.0
sensor_flow_0,9,5.271,1.031,7.821,0.532,5.781,-0.51,0,0.0
sensor_flow_0,22,0.337,0.803,1.595,0.156,0.4,-0.063,0,0.0
sensor_flow_0,21,8.268,0.611,9.495,0.81,7.849,0.419,0,0.0
sensor_flow_0,18,7.14,1.292,10.071,0.519,6.918,0.222,0,0.0
sensor_flow_0,14,1.902,1.049,4.846,0.0,2.041,-0.139,0,0.0
sensor_flow_0,15,1.355,0.964,3.121,0.042,1.482,-0.128,0,0.0
sensor_flow_0,5,0.003,1.471,3.077,0.258,0.191,-0.187,0,0.0
sensor_flow_0,20,7.792,0.391,8.745,0.86,7.45,0.342,0,0.0
sensor_flow_0,23,0.388,0.606,1.76,0.021,0.286,0.102,0,0.0
sensor_flow_0,5,2.059,1.049,4.684,0.0,0.2,1.86,0,0.0
sensor_flow_0,0,11.746,0.552,13.092,0.928,0.425,11.321,1,1.0
sensor_flow_0,18,6.376,1.477,9.905,0.708,6.24,0.136,0,0.0
sensor_flow_0,5,0.434,0.702,2.499,0.039,0.15,0.283,0,0.0
sensor_flow_0,17,3.751,0.585,5.375,0.211,2.947,0.804,0,0.0
sensor_flow_0,10,1.803,0.673,3.143,0.331,2.148,-0.345,0,0.0
sensor_flow_0,2,0.503,0.495,1.733,0.096,0.134,0.369,0,0.0
sensor_flow_0,22,0.024,1.029,1.738,0.054,0.115,-0.092,0,0.0
sensor_flow_0,23,0.0,0.371,1.11,0.084,0.26,-0.26,0,0.0
sensor_flow_0,22,0.884,0.486,1.898,0.153,0.182,0.702,0,0.0
sensor_flow_0,0,0.0,1.3,2.341,0.25,0.197,-0.197,0,0.0
sensor_flow_0,1,0.519,0.981,2.113,0.234,0.383,0.135,0,0.0
sensor_flow_0,18,7.939,1.421,11.628,1.0,8.698,-0.76,0,0.0
sensor_flow_0,19,5.885,1.47,8.678,0.508,5.747,0.138,0,0.0
sensor_flow_0,15,1.332,0.686,2.971,0.389,1.845,-0.513,0,0.0
sensor_flow_0,8,6.692,0.501,8.132,0.732,5.967,0.725,0,0.0
sensor_flow_0,1,0.601,0.851,2.756,0.029,0.125,0.476,0,0.0
sensor_flow_0,8,5.701,0.303,6.476,0.942,6.075,-0.374,0,0.0
sensor_flow_0,3,0.075,0.443,1.184,0.119,0.11,-0.034,0,0.0
sensor_flow_0,9,5.776,0.679,7.11,0.573,5.854,-0.077,0,0.0
sensor_flow_0,23,0.0,0.667,1.037,0.144,0.274,-0.274,0,0.0
sensor_flow_0,4,11.72,0.533,13.079,0.882,0.272,11.447,1,1.0
sensor_flow_0,0,0.0,1.068,2.538,0.0,0.401,-0.401,0,0.0
sensor_flow_0,13,0.691,0.431,1.813,0.227,1.425,-0.735,0,0.0
sensor_flow_0,11,2.819,1.298,5.988,0.219,2.133,0.686,0,0.0
sensor_flow_0,3,3.527,0.552,5.024,0.982,0.07,3.457,1,1.0
sensor_flow_0,17,1.915,0.439,2.686,0.233,2.051,-0.136,0,0.0
sensor_flow_0,4,0.0,0.964,1.62,0.378,0.451,-0.451,0,0.0
sensor_flow_0,7,12.469,0.374,13.258,0.881,5.672,6.797,1,1.0
sensor_flow_0,18,6.312,1.304,9.095,0.774,7.178,-0.866,0,0.0
sensor_flow_0,15,7.946,0.186,8.497,0.908,2.133,5.814,1,1.0
sensor_flow_0,11,2.628,1.103,5.023,0.331,2.165,0.463,0,0.0
sensor_flow_0,1,0.0,1.208,3.254,0.0,0.03,-0.03,0,0.0
sensor_flow_0,16,0.816,1.301,4.378,0.1,2.008,-1.192,0,0.0
sensor_flow_0,7,6.922,1.123,9.679,0.84,7.563,-0.641,0,0.0
sensor_flow_0,4,10.597,0.572,11.74,0.979,0.147,10.449,1,1.0
sensor_flow_0,1,0.0,1.46,3.398,0.282,0.14,-0.14,0,0.0
sensor_flow_0,2,0.0,1.011,1.554,0.06,0.395,-0.395,0,0.0
sensor_flow_0,10,2.176,0.805,4.514,0.191,2.291,-0.115,0,0.0
sensor_flow_0,21,4.036,0.686,5.953,0.6,4.861,-0.825,0,0.0
sensor_flow_0,18,5.374,0.409,6.585,0.714,6.17,-0.796,0,0.0
sensor_flow_0,0,11.669,0.546,12.94,0.948,0.099,11.57,1,1.0
sensor_flow_0,0,0.0,1.084,2.259,0.03,0.328,-0.328,0,0.0
sensor_flow_0,22,1.188,0.838,2.968,0.0,0.252,0.936,0,0.0
sensor_flow_0,19,5.845,0.839,8.124,0.556,5.415,0.43,0,0.0
sensor_flow_0,0,0.294,0.961,2.944,0.0,0.01,0.285,0,0.0
sensor_flow_0,12,0.422,0.548,1.578,0.028,1.127,-0.704,0,0.0
sensor_flow_0,22,0.151,0.491,1.299,0.14,0.444,-0.293,0,0.0
sensor_flow_0,8,3.784,1.018,5.738,0.365,4.091,-0.308,0,0.0
sensor_flow_0,0,0.648,1.332,3.703,0.126,0.285,0.363,0,0.0
sensor_flow_0,18,9.449,1.414,12.739,0.887,8.8,0.649,0,0.0
sensor_flow_0,12,2.622,1.461,5.112,0.239,1.211,1.411,0,0.0
sensor_flow_0,1,0.791,1.07,2.713,0.081,0.41,0.381,0,0.0
sensor_flow_0,20,10.233,0.434,10.957,1.0,8.661,1.572,0,0.0
sensor_flow_0,3,5.919,0.587,7.243,0.901,0.091,5.827,1,1.0
sensor_flow_0,6,6.455,1.094,9.162,0.618,7.73,-1.275,0,0.0
sensor_flow_0,6,7.317,1.113,9.488,0.649,7.551,-0.234,0,0.0
sensor_flow_0,19,6.844,1.341,9.69,1.0,8.373,-1.529,0,0.0
sensor_flow_0,11,2.436,1.253,6.089,0.309,2.796,-0.36,0,0.0
sensor_flow_0,8,7.329,0.929,9.085,0.82,8.013,-0.684,0,0.0
sensor_flow_0,6,3.53,0.941,6.139,0.536,4.784,-1.254,0,0.0
sensor_flow_0,14,2.744,0.883,4.764,0.16,1.724,1.02,0,0.0
sensor_flow_0,13,3.672,1.227,6.709,0.194,2.743,0.929,0,0.0
sensor_flow_0,1,0.0,0.361,1.076,0.099,0.213,-0.213,0,0.0
sensor_flow_0,11,1.563,0.495,2.847,0.231,1.838,-0.275,0,0.0
sensor_flow_0,15,6.321,0.417,7.375,0.936,2.286,4.035,1,1.0
sensor_flow_0,20,7.421,0.535,8.499,0.821,7.633,-0.212,0,0.0
sensor_flow_0,4,0.0,0.793,1.795,0.182,0.025,-0.025,0,0.0
sensor_flow_0,7,5.232,0.874,7.059,0.459,4.026,1.206,0,0.0
sensor_flow_0,12,7.635,0.595,8.813,0.859,2.074,5.561,1,1.0
sensor_flow_0,4,1.125,0.852,2.816,0.061,0.19,0.935,0,0.0
sensor_flow_0,7,9.254,0.713,10.522,1.0,8.744,0.51,0,0.0
sensor_flow_0,15,1.933,0.634,3.763,0.348,2.128,-0.195,0,0.0
sensor_flow_0,11,0.778,1.127,3.971,0.0,1.152,-0.373,0,0.0
sensor_flow_0,2,0.0,0.453,1.207,0.104,0.175,-0.175,0,0.0
sensor_flow_0,1,1.388,0.463,2.622,0.0,0.336,1.052,0,0.0
sensor_flow_0,7,5.073,0.608,6.737,0.61,5.231,-0.158,0,0.0
sensor_flow_0,20,6.448,0.342,7.213,0.625,6.53,-0.082,0,0.0
sensor_flow_0,5,0.66,0.632,1.806,0.0,0.179,0.481,0,0.0
sensor_flow_0,3,0.736,0.454,1.441,0.051,0.172,0.564,0,0.0
sensor_flow_0,4,0.155,1.159,1.94,0.034,0.359,-0.204,0,0.0
sensor_flow_0,8,12.757,0.12,13.026,0.97,4.975,7.782,1,1.0
sensor_flow_0,20,8.036,1.488,10.55,0.724,7.754,0.283,0,0.0
sensor_flow_0,17,1.5,0.754,3.494,0.563,1.726,-0.227,0,0.0
sensor_flow_0,1,0.471,1.067,3.129,0.045,0.269,0.203,0,0.0
sensor_flow_0,6,5.698,0.782,7.875,0.667,4.851,0.847,0,0.0
sensor_flow_0,0,0.0,1.247,2.127,0.358,0.273,-0.273,0,0.0
sensor_flow_0,18,5.362,0.771,7.208,0.718,5.19,0.172,0,0.0
sensor_flow_0,0,0.044,0.806,2.443,0.166,0.135,-0.091,0,0.0
sensor_flow_0,2,4.209,0.584,5.744,0.952,0.283,3.926,1,1.0
sensor_flow_0,1,0.408,1.34,3.615,0.0,0.09,0.319,0,0.0
sensor_flow_0,16,1.336,1.172,4.177,0.397,1.314,0.022,0,0.0
sensor_flow_0,1,0.085,1.326,3.554,0.108,0.164,-0.079,0,0.0
sensor_flow_0,15,1.592,1.02,3.748,0.247,2.119,-0.527,0,0.0
sensor_flow_0,3,0.518,1.238,2.42,0.0,0.14,0.378,0,0.0
sensor_flow_0,4,0.353,1.288,3.417,0.0,0.394,-0.042,0,0.0
sensor_flow_0,0,2.006,1.251,5.564,0.0,0.474,1.532,0,0.0
sensor_flow_0,23,0.099,1.185,3.434,0.03,0.192,-0.093,0,0.0
sensor_flow_0,1,1.05,0.377,1.666,0.168,0.478,0.571,0,0.0
sensor_flow_0,17,3.116,1.078,5.015,0.462,2.136,0.98,0,0.0
sensor_flow_0,13,1.51,1.019,3.95,0.189,1.358,0.152,0,0.0
sensor_flow_0,16,2.21,1.472,4.749,0.366,2.619,-0.409,0,0.0
sensor_flow_0,6,6.799,1.359,9.353,0.997,6.987,-0.188,0,0.0
sensor_flow_0,3,0.201,1.324,2.321,0.0,0.103,0.097,0,0.0
sensor_flow_0,12,1.312,1.078,4.344,0.222,1.181,0.132,0,0.0
sensor_flow_0,11,1.395,0.665,3.082,0.12,1.033,0.363,0,0.0
sensor_flow_0,14,2.77,1.061,5.158,0.19,1.982,0.789,0,0.0
sensor_flow_0,4,8.463,0.488,9.77,0.855,0.076,8.387,1,1.0
sensor_flow_0,1,0.539,0.444,1.406,0.0,0.376,0.163,0,0.0
sensor_flow_0,16,1.43,1.382,4.217,0.115,1.639,-0.209,0,0.0
sensor_flow_0,8,6.036,0.831,7.743,0.369,5.195,0.842,0,0.0
sensor_flow_0,22,0.0,0.818,1.883,0.0,0.25,-0.25,0,0.0
sensor_flow_0,22,0.034,1.197,2.447,0.062,0.434,-0.4,0,0.0
sensor_flow_0,5,1.214,1.455,4.163,0.033,0.22,0.994,0,0.0
sensor_flow_0,20,6.076,1.271,8.398,0.797,5.406,0.669,0,0.0
sensor_flow_0,14,1.502,0.466,2.249,0.258,1.036,0.466,0,0.0
sensor_flow_0,6,8.483,1.168,10.511,0.798,7.93,0.553,0,0.0
sensor_flow_0,18,4.407,1.464,7.42,0.491,5.476,-1.069,0,0.0
sensor_flow_0,5,8.892,0.222,9.459,0.906,0.325,8.566,1,1.0
sensor_flow_0,16,1.779,0.907,4.38,0.417,2.115,-0.336,0,0.0
sensor_flow_0,18,9.094,0.368,9.689,1.0,8.33,0.764,0,0.0
sensor_flow_0,12,0.709,1.05,3.182,0.052,1.063,-0.354,0,0.0
sensor_flow_0,7,6.924,0.637,7.91,0.731,8.133,-1.209,0,0.0
sensor_flow_0,15,2.08,0.47,3.086,0.0,1.773,0.307,0,0.0
sensor_flow_0,19,7.226,1.071,9.228,0.674,8.181,-0.954,0,0.0
sensor_flow_0,22,3.324,0.453,4.376,0.868,0.244,3.08,1,1.0
sensor_flow_0,20,4.732,1.368,8.783,0.41,4.161,0.571,0,0.0
sensor_flow_0,16,2.505,1.153,4.759,0.372,2.689,-0.184,0,0.0
sensor_flow_0,6,9.774,0.929,12.32,0.936,8.543,1.231,0,0.0
sensor_flow_0,23,6.04,0.559,7.622,0.91,0.012,6.028,1,1.0
sensor_flow_0,7,5.934,0.733,7.155,0.708,5.444,0.49,0,0.0
sensor_flow_0,11,2.28,0.669,3.55,0.0,1.279,1.002,0,0.0
sensor_flow_0,2,0.0,0.997,2.673,0.0,0.496,-0.496,0,0.0
sensor_flow_0,9,8.074,1.494,12.185,0.968,8.181,-0.107,0,0.0
sensor_flow_0,22,0.091,0.534,1.179,0.0,0.458,-0.368,0,0.0
sensor_flow_0,20,6.154,0.559,7.55,0.845,6.981,-0.827,0,0.0
sensor_flow_0,3,1.349,1.126,3.604,0.0,0.371,0.978,0,0.0
sensor_flow_0,16,0.62,0.549,1.519,0.197,1.933,-1.314,0,0.0
sensor_flow_0,13,2.081,1.095,4.088,0.283,2.64,-0.559,0,0.0
sensor_flow_0,6,6.369,0.765,8.63,0.486,5.113,1.256,0,0.0
sensor_flow_0,9,5.735,1.176,7.855,0.821,6.601,-0.866,0,0.0
sensor_flow_0,7,6.168,1.481,9.495,1.0,6.245,-0.077,0,0.0
sensor_flow_0,19,6.301,0.981,9.026,0.386,6.168,0.133,0,0.0
sensor_flow_0,11,1.135,0.718,3.246,0.324,2.218,-1.083,0,0.0
sensor_flow_0,16,2.07,0.412,2.948,0.331,2.22,-0.151,0,0.0
sensor_flow_0,6,16.196,0.348,16.882,0.944,6.937,9.259,1,1.0
sensor_flow_0,22,0.0,1.111,2.863,0.0,0.218,-0.218,0,0.0
sensor_flow_0,3,1.065,0.435,1.947,0.0,0.119,0.946,0,0.0
sensor_flow_0,16,2.335,0.854,3.911,0.0,2.945,-0.61,0,0.0
sensor_flow_0,12,2.724,1.114,5.217,0.0,1.815,0.909,0,0.0
sensor_flow_0,5,0.0,0.664,1.67,0.007,0.306,-0.306,0,0.0
sensor_flow_0,9,4.066,1.497,7.424,0.741,4.124,-0.058,0,0.0
sensor_flow_0,13,0.282,0.781,2.336,0.0,1.072,-0.791,0,0.0
sensor_flow_0,18,10.077,1.205,12.724,1.0,8.925,1.152,0,0.0
sensor_flow_0,2,0.0,0.475,0.888,0.084,0.26,-0.26,0,0.0
sensor_flow_0,7,4.77,1.455,7.721,0.718,5.468,-0.698,0,0.0
sensor_flow_0,0,1.049,0.595,2.784,0.0,0.422,0.627,0,0.0
sensor_flow_0,0,0.0,0.308,0.914,0.0,0.19,-0.19,0,0.0
sensor_flow_0,23,0.0,0.693,1.755,0.277,0.392,-0.392,0,0.0
sensor_flow_0,23,1.062,1.23,3.627,0.0,0.025,1.038,0,0.0
sensor_flow_0,22,0.526,0.439,1.422,0.11,0.396,0.13,0,0.0
sensor_flow_0,1,0.0,0.654,1.01,0.141,0.342,-0.342,0,0.0
sensor_flow_0,18,6.694,0.737,8.717,0.917,5.87,0.824,0,0.0
sensor_flow_0,6,4.813,1.234,7.051,0.764,5.208,-0.395,0,0.0
sensor_flow_0,8,9.098,1.482,12.889,1.0,8.5,0.598,0,0.0
sensor_flow_0,12,2.042,0.864,4.513,0.368,2.7,-0.658,0,0.0
sensor_flow_0,7,4.769,1.046,6.408,0.672,4.322,0.447,0,0.0
sensor_flow_0,20,14.102,0.563,15.784,0.992,8.28,5.822,1,1.0
sensor_flow_0,10,1.699,1.347,4.537,0.064,1.355,0.344,0,0.0
sensor_flow_0,11,0.814,1.144,2.805,0.018,1.159,-0.345,0,0.0
sensor_flow_0,12,1.444,0.414,2.293,0.045,1.203,0.241,0,0.0
sensor_flow_0,9,5.353,0.858,7.836,0.312,5.224,0.129,0,0.0
sensor_flow_0,13,1.972,0.605,3.035,0.472,2.285,-0.313,0,0.0
sensor_flow_0,8,8.127,1.232,11.343,1.0,8.706,-0.579,0,0.0
sensor_flow_0,3,0.65,0.936,2.137,0.0,0.068,0.582,0,0.0
sensor_flow_0,6,2.02,0.754,3.894,0.35,4.257,-2.237,0,0.0
sensor_flow_0,3,0.0,0.674,1.016,0.0,0.21,-0.21,0,0.0
sensor_flow_0,19,8.245,0.992,10.975,0.84,8.181,0.065,0,0.0
sensor_flow_0,23,0.0,0.716,1.812,0.0,0.011,-0.011,0,0.0
sensor_flow_0,16,1.879,1.027,3.85,0.27,1.621,0.258,0,0.0
sensor_flow_0,3,0.382,0.615,2.058,0.0,0.315,0.067,0,0.0
sensor_flow_0,10,2.608,0.401,3.792,0.187,2.53,0.078,0,0.0
sensor_flow_0,12,1.229,0.703,2.773,0.23,1.435,-0.205,0,0.0
sensor_flow_0,13,2.484,0.874,4.957,0.183,1.838,0.646,0,0.0
sensor_flow_0,8,13.864,0.522,14.813,0.933,5.199,8.665,1,1.0
sensor_flow_0,19,8.441,1.336,11.784,0.74,7.707,0.734,0,0.0
sensor_flow_0,4,0.945,1.152,3.518,0.0,0.331,0.613,0,0.0
sensor_flow_0,15,1.045,0.711,2.374,0.385,1.253,-0.208,0,0.0
sensor_flow_0,14,2.9,1.184,6.41,0.256,2.72,0.18,0,0.0
sensor_flow_0,23,8.145,0.202,8.684,0.941,0.028,8.117,1,1.0
sensor_flow_0,13,2.723,0.896,4.853,0.523,1.881,0.841,0,0.0
sensor_flow_0,3,0.0,0.635,1.446,0.02,0.227,-0.227,0,0.0
sensor_flow_0,13,1.276,0.659,2.543,0.064,2.126,-0.851,0,0.0
sensor_flow_0,4,1.653,0.717,2.999,0.101,0.271,1.382,0,0.0
sensor_flow_0,14,2.456,0.545,3.754,0.351,2.335,0.121,0,0.0
