tank_level_pct,float_switch_full,shortage_severity,leak_detected
51.99,False,medium,False
65.06,False,low,False
91.45,False,medium,True
52.27,False,low,False
11.48,False,medium,False
59.55,False,low,False
79.36,False,low,False
66.39,False,low,False
45.06,False,low,False
95.28,True,low,False
18.96,False,medium,False
98.25,True,low,False
36.69,False,low,False
23.82,False,low,False
81.0,False,high,False
44.84,False,high,False
84.99,False,low,False
70.66,False,low,True
93.63,False,high,False
66.18,False,low,False
44.62,False,low,False
45.56,False,high,False
19.44,False,low,False
1.16,False,medium,False
12.46,False,high,False
18.31,False,medium,False
63.28,False,low,False
46.01,False,high,False
62.66,False,high,False
88.82,False,low,False
79.89,False,high,False
96.43,True,low,False
83.92,False,medium,False
35.16,False,medium,False
52.71,False,medium,True
9.6,False,low,False
41.29,False,medium,False
4.05,False,medium,False
68.79,False,low,False
50.05,False,medium,True
74.67,False,high,False
89.42,False,low,False
24.67,False,medium,False
74.68,False,high,False
24.72,False,high,False
72.34,False,low,False
43.56,False,low,False
7.34,False,medium,False
11.13,False,high,True
39.62,False,medium,False
31.91,False,medium,False
25.27,False,low,False
96.62,True,low,False
72.04,False,low,False
50.06,False,low,False
92.87,False,low,True
60.93,False,medium,False
96.37,True,high,False
17.09,False,medium,True
64.19,False,medium,False
50.13,False,low,False
5.11,False,medium,False
76.6,False,low,False
18.4,False,high,False
16.82,False,high,False
89.19,False,medium,False
12.19,False,low,False
42.32,False,low,False
50.99,False,low,False
3.32,False,high,False
16.02,False,medium,False
51.07,False,low,False
87.82,False,low,False
21.69,False,low,False
12.18,False,low,False
40.93,False,high,False
89.68,False,high,True
87.99,False,high,False
63.6,False,low,True
26.26,False,low,False
65.36,False,low,False
7.38,False,high,False
3.1,False,high,False
80.52,False,high,False
23.94,False,high,False
27.47,False,medium,False
48.75,False,medium,True
45.46,False,low,True
51.92,False,low,False
11.14,False,medium,False
0.06,False,medium,False
52.79,False,medium,False
12.3,False,low,False
60.83,False,medium,False
24.97,False,high,False
56.08,False,medium,False
7.39,False,low,False
20.36,False,low,True
97.84,True,high,False
19.18,False,low,False
36.38,False,low,False
36.7,False,medium,False
65.95,False,high,False
32.27,False,high,False
78.09,False,medium,False
53.89,False,low,False
82.57,False,low,False
77.5,False,low,False
77.58,False,low,False
2.53,False,low,False
70.07,False,low,False
19.15,False,high,False
70.72,False,low,False
51.81,False,high,False
87.3,False,low,False
68.76,False,low,False
33.49,False,medium,False
53.7,False,medium,False
66.42,False,medium,False
80.72,False,low,False
73.52,False,medium,False
96.51,True,medium,False
33.43,False,low,False
78.15,False,low,False
88.14,False,low,True
87.6,False,low,False
54.26,False,high,False
68.12,False,high,False
63.77,False,low,False
45.14,False,low,False
22.71,False,low,False
23.7,False,low,False
81.01,False,medium,False
63.27,False,medium,False
13.29,False,low,False
15.33,False,low,False
52.74,False,medium,False
