zone_id,day,tank_level_pct,tank_level_trend_7d,avg_daily_consumption_l,consumption_trend_7d,rainfall_forecast_mm_7d,days_of_supply_left,stress_score,severity
zone_0,0,73.24,0.0,1430.8,0.0,0.0,99.0,13.05,low
zone_0,1,67.61,0.0,1696.6,0.0,13.89,99.0,18.1,low
zone_0,2,62.87,0.0,1474.7,0.0,10.7,99.0,16.42,low
zone_0,3,58.78,0.0,1577.5,0.0,18.48,99.0,17.18,low
zone_0,4,53.3,0.0,1652.2,0.0,13.0,99.0,24.71,low
zone_0,5,48.94,0.0,1741.5,0.0,15.68,99.0,24.14,low
zone_0,6,44.52,0.0,1666.6,0.0,17.8,99.0,18.72,low
zone_0,7,40.62,-4.659999999999999,1625.8,13.628739166899637,19.97,8.716738197424894,32.92,low
zone_0,8,37.5,-4.301428571428572,1556.3,-8.269480136744074,2.51,8.718033875788773,36.83,low
zone_0,9,33.2,-4.2385714285714275,1720.9,16.69492100088154,8.44,7.832827772160433,40.12,medium
zone_0,10,24.38,-4.9142857142857155,2579.0,63.486529318542,22.28,4.961046511627906,50.36,medium
zone_0,11,19.79,-4.7871428571428565,1479.7,-10.440624621716498,8.77,4.1339898537749935,49.52,medium
zone_0,12,14.73,-4.887142857142856,1677.1,-3.6979615274188973,20.36,3.014030985092079,53.79,medium
zone_0,13,11.16,-4.765714285714286,1444.4,-13.332533301332042,17.29,2.3417266187050356,54.51,medium
zone_0,14,4.84,-5.111428571428571,1682.2,3.469061385164233,25.17,0.9468977082168809,57.9,medium
zone_0,15,0.57,-5.275714285714286,1428.2,-8.231060849450614,11.27,0.10804224207961005,59.42,medium
zone_0,16,0.0,-4.742857142857143,1551.7,-9.832064617351389,34.47,0.0,55.84,medium
zone_0,17,0.0,-3.4828571428571427,1704.6,-33.90461419154712,22.58,0.0,58.99,medium
zone_0,18,0.0,-2.827142857142857,1606.4,8.562546462120704,14.91,0.0,58.07,medium
zone_0,19,0.0,-2.1042857142857145,1466.4,-12.563353407667988,25.72,0.0,52.28,medium
zone_0,20,0.0,-1.5942857142857143,1784.2,23.525339241207416,31.61,0.0,55.48,medium
zone_0,21,0.0,-0.6914285714285714,2986.3,77.52348115562954,18.82,0.0,42.44,medium
zone_0,22,0.0,-0.08142857142857142,1969.5,37.90085422209774,46.83,0.0,46.32,medium
zone_0,23,0.0,0.0,1544.1,-0.48978539666173465,25.33,99.0,44.34,medium
